aardvark _ar_va__
abattoir a___t_ir
adenoid ad___id
afghani af___ni
agnostic _g_o_t_c
airspace ai__p_ce
allegory al____ry
almanac al__n_c
analogue an____ue
anatomy an___my
antenna _n__nna
antidote a__ido__
antique an___ue
anybody an___dy
aplomb ap_o_b
approval app___al
apricot ap___ot
archduke ar____ke
asbestos _sb___o_
assassin a__a__in
atrocity at___it_
avocado _v__ad_
bachelor ba__e_or
bandanna _a_d_nn_
basilica ba____ca
bassoon b_s_oo_
bayonet __yo_et
bazooka b_z_o__
beeswax __es__x
begonia _eg_ni_
behavior be__vi__
bladder b__dde_
blarney _l_rne_
bogeyman _og_y___
borough _o__ugh
borscht ___sch_
bourbon _ou__on
boyhood _oyh_o_
brahmin bra__in
bravado br__ado
brazier b__zi_r
broccoli b__cc__i
bullock bu_l__k
bureau bu_e_u
cabaret c__ar_t
cashmere _a_h__re
cavalry c_va__y
chassis __ass_s
chicory c__c_ry
chimney __imn_y
chipmunk ch___unk
cholera c_o__ra
chutney c_utn__
cinnamon _i__amo_
clarinet _l_r__et
climate _l_m_te
cobbler c__ble_
cockatoo c____t_o
coconut _o_o_ut
conifer c_nif__
copycat co___at
corvette _o_v__te
cossack _oss__k
crevice _rev_ce
croquet cro_u__
croupier _r_u_ie_
cupcake _up__ke
curator cu___or
cutlery c_tl_r_
cyanide _ya__d_
delirium d_l__iu_
democrat __m_c_at
dinosaur d_n_sa__
duodenum _u__e_um
electron __ec_r_n
ellipse _ll_p_e
emissary e__s_ar_
epitaph _pi__ph
espresso _s_r_s_o
estuary _stu_r_
exponent _x_o__nt
fascism f__c_sm
filtrate __lt__te
flamingo _l_mi_g_
flannel fl___el
gangrene g__gr__e
gazelle _az_l_e
gazette _az__te
gizzard _i_z_rd
gondola g__do_a
granary g_a__ry
hayloft h_y__ft
hexagon _ex_g__
hibiscus __b_sc_s
horizon ho___on
hyacinth _ya__n_h
hydrant _yd_an_
ideology _deo_o__
imbiber im_ib__
incision i_c__ion
inertia _ne_tia
inferno i_f___o
inkwell in_w_l_
insomnia _n__mn_a
isthmus ___hm_s
jamboree j_m____e
katydid __ty_i_
kerosene k__o__ne
knapsack kn_p____
kumquat __mq__t
lacrosse _ac_os__
ladybug la_y__g
laggard l_g__rd
lanolin __no_in
lectern __ct_rn
leprosy _e__osy
lettuce _e_tuc_
leukemia _eu__m_a
lexicon _ex_c_n
lineage l_ne__e
lithium _ith_um
lozenge _oz__ge
madeira __d_ira
marjoram ___jo_am
martini __rt__i
mascara m_s_a_a
mazurka m_z_r_a
membrane __mb__ne
menthol m__t_ol
migraine _igr__ne
monogram mo_o___m
mystery _ys__ry
neonate _eo__te
nirvana _i_va_a
nocturne no____ne
obelisk ob__i_k
octopus o_t__us
operetta _p___tta
oration ora__o_
outsider _u_s__er
paraffin ____ff_n
paranoia _a__no_a
pendulum _e_d_l_m
peroxide _er_x__e
petunia _e_uni_
pharaoh ph___oh
phoenix p__en_x
pigment p_gm__t
pimento p__e_to
plankton ___nk_on
polliwog po__iw__
quartet _u_r_et
rainbow r___b_w
repartee ___ar_ee
rhetoric _he_or__
rhombus _h_mb_s
rhubarb _hu___b
rotunda ro___da
ruffian _uff_a_
rutabaga _u__b_ga
sanskrit _a_sk_i_
sapphire _app_i__
scimitar sc____ar
sequoia se__o_a
sextant _ex__nt
sheriff s____ff
silicon si__c_n
sorghum __rghu_
spatula _p_tu_a
spittle _pi_t_e
sprocket _pr___et
surgeon su_g__n
swahili s_ah__i
taffeta _af__ta
tequila t__ui_a
theorem _h_o_em
thyroid __yr_id
toboggan _ob_gg__
tricycle _ri_y___
twilight tw__i__t
universe _ni__r_e
urethra _r__hr_
vendetta _e_dett_
verandah v__a_d_h
vermouth __r__uth
vicarage __car_g_
viceroy _ic_ro_
warranty w____nty
wavelet _av__et
yeomanry y_o__nr_
yoghurt _o_hur_
zeppelin z___e_in
